nome,endereco,lat,lon,imagem,detalhes_url,mapa_url
Mamute Bar,"Rua Brás Cubas, 116 | Cruzeiro, Belo Horizonte - MG",-19.9448741,-43.92853239999999,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19154240/mamute_ctadeparabens_bh_2025_mylenaizis_unibh-8079-scaled.jpg,https://comidadibuteco.com.br/buteco/mamute-gastrobar/,"https://www.google.com/maps/search/?api=1&query=Rua Brás Cubas, 116 | Cruzeiro, Belo Horizonte - MG"
Marina’s Bar,"Rua José Baroni, 13 | Santa Efigênia, Belo Horizonte - MG",-19.9239539,-43.9089423,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19154422/marinas_essetremvoa_bh_2025_isaquerodrigues_unibh-7376-scaled.jpg,https://comidadibuteco.com.br/buteco/marinas-bar/,"https://www.google.com/maps/search/?api=1&query=Rua José Baroni, 13 | Santa Efigênia, Belo Horizonte - MG"
Mineiros Beer,"Rua Romualdo Lopes Cançado, 399 | Castelo, Belo Horizonte - MG",-19.8886654,-43.9970161,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19154514/mineirosbeer_costeladeromeu_bh_2025_isaquerodrigues_unibh-8592-scaled.jpg,https://comidadibuteco.com.br/buteco/mineiros-beer/,"https://www.google.com/maps/search/?api=1&query=Rua Romualdo Lopes Cançado, 399 | Castelo, Belo Horizonte - MG"
Mulão,"Rua Marambaia, 291 | Caiçara, Belo Horizonte - MG",-19.9082148,-43.9683758,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045206/mulao_mulle_bh_2025_fernandaoliveira_unibh-7464-scaled.jpg,https://comidadibuteco.com.br/buteco/3177-revision-v1/,"https://www.google.com/maps/search/?api=1&query=Rua Marambaia, 291 | Caiçara, Belo Horizonte - MG"
Nosso Spetim,"Rua dos Astecas, 3219 | Santa Mônica, Belo Horizonte - MG",-19.83178,-43.97723,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045142/nonospetim_linguadedoisamores_bh_2025_isaquerodrigues_unibh-9340-scaled.jpg,https://comidadibuteco.com.br/buteco/nosso-spetim/,"https://www.google.com/maps/search/?api=1&query=Rua dos Astecas, 3219 | Santa Mônica, Belo Horizonte - MG"
O Fino do Alho,"Rua Capitão Sérgio Pires, 41 | Minascaixa, Belo Horizonte - MG",-19.8054467,-43.9579759,https://comidadibuteco.com.br/wp-content/uploads/2025/03/ofinodoalho_sodeminas_bh_2025_isaquerodrigues_unibh-9054-scaled.jpg,https://comidadibuteco.com.br/buteco/o-fino-do-alho/,"https://www.google.com/maps/search/?api=1&query=Rua Capitão Sérgio Pires, 41 | Minascaixa, Belo Horizonte - MG"
Oratório Bar,"Avenida Brasil, 161 | Santa Efigênia, Belo Horizonte - MG",-19.9244137,-43.9216995,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19155430/oratoriobar_costeladeadao_bh_2025_amandacantanhede_unibh-8929-scaled.jpg,https://comidadibuteco.com.br/buteco/oratorio-bar/,"https://www.google.com/maps/search/?api=1&query=Avenida Brasil, 161 | Santa Efigênia, Belo Horizonte - MG"
Parada 10.95 Bar,"Avenida dos Engenheiros, 1095 | Alípio de Melo, Belo Horizonte - MG",-19.8886402,-44.0029196,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19155719/parada1095_bh_2025_amandacantanhede_unibh-8058-scaled.jpg,https://comidadibuteco.com.br/buteco/parada-10-95-bar/,"https://www.google.com/maps/search/?api=1&query=Avenida dos Engenheiros, 1095 | Alípio de Melo, Belo Horizonte - MG"
Parada do Sabor,"Avenida General Carlos Guedes, 346 | Planalto, Belo Horizonte - MG",-19.837958,-43.9483778,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045053/paradadosabor_coracaodoparada_bh_2025_isaquerodrigues_unibh-8637-scaled.jpg,https://comidadibuteco.com.br/buteco/parada-do-sabor/,"https://www.google.com/maps/search/?api=1&query=Avenida General Carlos Guedes, 346 | Planalto, Belo Horizonte - MG"
Pé de Cana,"Rua Flórida, 15 | Sion, Belo Horizonte - MG",-19.9484881,-43.9339669,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19155918/pedecana_eprata_bh_2025_isaquerodrigues_unibh-7883-scaled.jpg,https://comidadibuteco.com.br/buteco/pe-de-cana/,"https://www.google.com/maps/search/?api=1&query=Rua Flórida, 15 | Sion, Belo Horizonte - MG"
